B8:27:EB:6B:21:41;172.16.1.1;;0
B8:27:EB:FD:CF:E6;172.16.1.2;;0
B8:27:EB:C9:C5:62;172.16.1.3;;0
B8:27:EB:1C:BD:33;172.16.1.4;;0
B8:27:EB:12:68:7F;172.16.1.5;;0
B8:27:EB:B0:A8:BF;172.16.1.6;;0
B8:27:EB:FE:05:B1;172.16.1.7;;0
B8:27:EB:56:64:D2;172.16.1.8;;0
B8:27:EB:3A:11:49;172.16.1.9;;0
B8:27:EB:74:9C:AF;172.16.1.10;;0
B8:27:EB:88:DD:00;172.16.1.11;;0
B8:27:EB:8F:CA:5A;172.16.1.12;;0
B8:27:EB:CC:69:D7;172.16.1.16;;0
B8:27:EB:AC:D3:91;172.16.1.17;;0
B8:27:EB:69:36:DB;172.16.1.18;;0
B8:27:EB:F5:2B:4C;172.16.1.19;;0
B8:27:EB:15:26:EF;172.16.1.20;;0
B8:27:EB:E2:E1:32;172.16.2.1;;0
B8:27:EB:E6:7A:69;172.16.2.2;;0
B8:27:EB:EF:01:C1;172.16.2.3;;0
B8:27:EB:8A:E9:C5;172.16.2.4;;0
B8:27:EB:DF:A2:35;172.16.2.5;;0
B8:27:EB:90:D3:FC;172.16.2.6;;0
B8:27:EB:AD:A6:3B;172.16.2.7;;0
B8:27:EB:67:3C:7B;172.16.2.8;;0
B8:27:EB:9F:B5:59;172.16.2.9;;0
B8:27:EB:91:DB:2A;172.16.2.10;;0
B8:27:EB:9C:D6:CC;172.16.2.11;;0
B8:27:EB:C1:FF:80;172.16.2.12;;0
B8:27:EB:45:8E:DA;172.16.2.13;;0
B8:27:EB:F7:8D:9F;172.16.2.14;;0
B8:27:EB:00:03:F4;172.16.2.15;;0
B8:27:EB:64:8A:25;172.16.2.16;;0
B8:27:EB:0B:4C:9F;172.16.2.17;;0
B8:27:EB:14:A6:D0;172.16.2.18;;0
B8:27:EB:39:BA:C1;172.16.2.19;;0
B8:27:EB:83:F0:D0;172.16.2.20;;0
B8:27:EB:05:63:91;172.16.3.1;;0
B8:27:EB:4C:F9:3F;172.16.3.2;;0
B8:27:EB:06:E9:13;172.16.3.3;;0
B8:27:EB:BC:E1:8C;172.16.3.4;;0
B8:27:EB:49:AE:33;172.16.3.5;;0
B8:27:EB:06:C3:A5;172.16.3.6;;0
B8:27:EB:AD:CE:EC;172.16.3.7;;0
B8:27:EB:64:FE:11;172.16.3.8;;0
B8:27:EB:F2:24:39;172.16.3.9;;0
B8:27:EB:56:E5:F5;172.16.3.10;;0
B8:27:EB:41:80:E2;172.16.3.11;;0
B8:27:EB:49:75:D6;172.16.3.12;;0
B8:27:EB:E7:AE:6A;172.16.3.13;;0
B8:27:EB:3A:C1:68;172.16.3.14;;0
B8:27:EB:74:75:B3;172.16.3.16;;0
B8:27:EB:10:6C:63;172.16.3.17;;0
B8:27:EB:40:98:D9;172.16.3.18;;0
B8:27:EB:11:B7:41;172.16.3.19;;0
B8:27:EB:EA:25:C5;172.16.4.1;;0
B8:27:EB:52:6D:E7;172.16.4.2;;0
B8:27:EB:37:15:71;172.16.4.3;;0
B8:27:EB:90:68:A8;172.16.4.4;;0
B8:27:EB:57:64:55;172.16.4.5;;0
B8:27:EB:48:87:97;172.16.4.6;;0
B8:27:EB:67:AF:E1;172.16.4.7;;0
B8:27:EB:C4:72:94;172.16.4.8;;0
B8:27:EB:5A:CF:87;172.16.4.9;;0
B8:27:EB:32:C3:04;172.16.4.10;;0
B8:27:EB:50:84:EF;172.16.4.11;;0
B8:27:EB:CF:09:05;172.16.4.12;;0
B8:27:EB:D0:08:AB;172.16.4.13;;0
B8:27:EB:D6:45:05;172.16.4.14;;0
B8:27:EB:70:3D:47;172.16.4.15;;0
B8:27:EB:51:1E:C1;172.16.4.16;;0
B8:27:EB:A1:B1:32;172.16.4.17;;0
B8:27:EB:F1:FC:38;172.16.4.18;;0
B8:27:EB:E1:42:68;172.16.4.19;;0
B8:27:EB:01:3D:85;172.16.4.20;;0
